input alg leaves trees k level t1 t2 t3 timeout errorInFile
100_leaves_53_trees_2_trees_1.txt Hybroscale 100 2 31 -1 29.081 67.865 1.187 False False
100_leaves_53_trees_2_trees_10.txt Hybroscale 100 2 31 -1 3.601 7.854 0.293 False False
100_leaves_53_trees_2_trees_2.txt Hybroscale 100 2 30 -1 0.552 1.242 0.055 False False
100_leaves_53_trees_2_trees_3.txt Hybroscale 100 2 37 -1 20.715 35.667 1.113 False False
100_leaves_53_trees_2_trees_4.txt Hybroscale 100 2 -100 0 9999 9999 9999 True False
100_leaves_53_trees_2_trees_5.txt Hybroscale 100 2 -100 0 9999 9999 9999 True False
100_leaves_53_trees_2_trees_6.txt Hybroscale 100 2 28 -1 1.547 4.04 0.182 False False
100_leaves_53_trees_2_trees_7.txt Hybroscale 100 2 31 -1 28.832 71.08500000000001 1.134 False False
100_leaves_53_trees_2_trees_8.txt Hybroscale 100 2 26 -1 3.794 8.217 0.383 False False
100_leaves_53_trees_2_trees_9.txt Hybroscale 100 2 27 -1 0.675 1.719 0.107 False False
100_leaves_53_trees_3_trees_1.txt Hybroscale 100 3 -100 0 9999 9999 9999 True False
100_leaves_53_trees_3_trees_10.txt Hybroscale 100 3 -100 0 9999 9999 9999 True False
100_leaves_53_trees_3_trees_2.txt Hybroscale 100 3 -100 0 9999 9999 9999 True False
100_leaves_53_trees_3_trees_3.txt Hybroscale 100 3 -100 0 9999 9999 9999 True False
100_leaves_53_trees_3_trees_4.txt Hybroscale 100 3 -100 0 9999 9999 9999 True False
100_leaves_53_trees_3_trees_5.txt Hybroscale 100 3 -100 0 9999 9999 9999 True False
100_leaves_53_trees_3_trees_6.txt Hybroscale 100 3 -100 0 9999 9999 9999 True False
100_leaves_53_trees_3_trees_7.txt Hybroscale 100 3 -100 0 9999 9999 9999 True False
100_leaves_53_trees_3_trees_8.txt Hybroscale 100 3 -100 0 9999 9999 9999 True False
100_leaves_53_trees_3_trees_9.txt Hybroscale 100 3 -100 0 9999 9999 9999 True False
100_leaves_53_trees_4_trees_1.txt Hybroscale 100 4 -100 0 9999 9999 9999 True False
100_leaves_53_trees_4_trees_10.txt Hybroscale 100 4 -100 0 9999 9999 9999 True False
100_leaves_53_trees_4_trees_2.txt Hybroscale 100 4 -100 0 9999 9999 9999 True False
100_leaves_53_trees_4_trees_3.txt Hybroscale 100 4 -100 0 9999 9999 9999 True False
100_leaves_53_trees_4_trees_4.txt Hybroscale 100 4 -100 0 9999 9999 9999 True False
100_leaves_53_trees_4_trees_5.txt Hybroscale 100 4 -100 0 9999 9999 9999 True False
100_leaves_53_trees_4_trees_6.txt Hybroscale 100 4 -100 0 9999 9999 9999 True False
100_leaves_53_trees_4_trees_7.txt Hybroscale 100 4 -100 0 9999 9999 9999 True False
100_leaves_53_trees_4_trees_8.txt Hybroscale 100 4 -100 0 9999 9999 9999 True False
100_leaves_53_trees_4_trees_9.txt Hybroscale 100 4 -100 0 9999 9999 9999 True False
100_leaves_53_trees_5_trees_1.txt Hybroscale 100 5 -100 0 9999 9999 9999 True False
100_leaves_53_trees_5_trees_10.txt Hybroscale 100 5 -100 0 9999 9999 9999 True False
100_leaves_53_trees_5_trees_2.txt Hybroscale 100 5 -100 0 9999 9999 9999 True False
100_leaves_53_trees_5_trees_3.txt Hybroscale 100 5 -100 0 9999 9999 9999 True False
100_leaves_53_trees_5_trees_4.txt Hybroscale 100 5 -100 0 9999 9999 9999 True False
100_leaves_53_trees_5_trees_5.txt Hybroscale 100 5 -100 0 9999 9999 9999 True False
100_leaves_53_trees_5_trees_6.txt Hybroscale 100 5 -100 0 9999 9999 9999 True False
100_leaves_53_trees_5_trees_7.txt Hybroscale 100 5 -100 0 9999 9999 9999 True False
100_leaves_53_trees_5_trees_8.txt Hybroscale 100 5 -100 0 9999 9999 9999 True False
100_leaves_53_trees_5_trees_9.txt Hybroscale 100 5 -100 0 9999 9999 9999 True False
100_leaves_53_trees_6_trees_1.txt Hybroscale 100 6 -100 0 9999 9999 9999 True False
100_leaves_53_trees_6_trees_10.txt Hybroscale 100 6 -100 0 9999 9999 9999 True False
100_leaves_53_trees_6_trees_2.txt Hybroscale 100 6 -100 0 9999 9999 9999 True False
100_leaves_53_trees_6_trees_3.txt Hybroscale 100 6 -100 0 9999 9999 9999 True False
100_leaves_53_trees_6_trees_4.txt Hybroscale 100 6 -100 0 9999 9999 9999 True False
100_leaves_53_trees_6_trees_5.txt Hybroscale 100 6 -100 0 9999 9999 9999 True False
100_leaves_53_trees_6_trees_6.txt Hybroscale 100 6 -100 0 9999 9999 9999 True False
100_leaves_53_trees_6_trees_7.txt Hybroscale 100 6 -100 0 9999 9999 9999 True False
100_leaves_53_trees_6_trees_8.txt Hybroscale 100 6 -100 0 9999 9999 9999 True False
100_leaves_53_trees_6_trees_9.txt Hybroscale 100 6 -100 0 9999 9999 9999 True False
