(5,((((((9,10),11),12),(1,((2,3),4))),((13,(14,15)),17)),((20,(16,(18,19))),(6,(7,8)))));
((5,1),((((((((6,(7,8)),(9,10)),11),12),((2,3),4)),17),(13,(14,15))),(20,(16,(18,19)))));
((((2,3),4),(5,1)),((((((9,10),11),12),17),(13,(14,15))),((20,(16,(18,19))),(6,(7,8)))));
((((2,3),4),(5,1)),(((((((6,(7,8)),(9,10)),11),12),17),(13,(15,16))),((20,14),(18,19))));
(5,((((((((6,(7,8)),(9,10)),11),12),(1,((2,3),4))),(17,(16,(18,19)))),(13,15)),(20,14)));
(5,(((((11,12),(1,((2,3),4))),17),(13,(15,16))),(((20,14),((6,(7,8)),(9,10))),(18,19))));
(((1,((2,3),4)),5),((((11,12),(17,(16,(18,19)))),(13,(14,15))),(20,((6,(7,8)),(9,10)))));
((((2,3),4),(5,1)),((((((9,10),11),12),(17,(16,(18,19)))),(13,(14,15))),(20,(6,(7,8)))));
(5,((((((((6,(7,8)),(9,10)),11),12),(1,((2,3),4))),17),(13,15)),((20,14),(16,(18,19)))));
(((1,((2,3),4)),5),((((((6,(7,8)),(9,10)),11),12),(((13,((14,15),16)),17),(18,19))),20));
(((1,((2,3),4)),5),((((((6,(7,8)),(9,10)),11),12),((13,15),17)),((20,14),(16,(18,19)))));
((5,1),(((((((6,(7,8)),(9,10)),11),12),((2,3),4)),((13,(15,16)),17)),((20,14),(18,19))));
(((1,((2,3),4)),5),(((((9,10),11),12),((13,(15,16)),17)),(((20,14),(18,19)),(6,(7,8)))));
((5,1),(((((((9,10),11),12),((2,3),4)),17),(13,(15,16))),(((20,14),(18,19)),(6,(7,8)))));
(((1,((2,3),4)),5),((((11,12),17),(13,(14,15))),(((20,(9,10)),(16,(18,19))),(6,(7,8)))));
((5,1),(((((((9,10),11),12),((2,3),4)),(17,(18,19))),(13,((14,15),16))),(20,(6,(7,8)))));
((((2,3),4),(5,1)),(((11,12),((13,(14,15)),17)),(((20,(9,10)),(16,(18,19))),(6,(7,8)))));
(((1,((2,3),4)),5),((((11,12),(17,(18,19))),(13,((14,15),16))),((20,(9,10)),(6,(7,8)))));
((((2,3),4),(5,1)),(((11,12),((13,((14,15),16)),17)),((20,((6,(7,8)),(9,10))),(18,19))));
((5,1),(((((11,12),((2,3),4)),17),(13,(14,15))),((20,((6,(7,8)),(9,10))),(16,(18,19)))));
