((1,2),((3,4),(((10,(11,(17,(18,19)))),(5,(((6,7),(8,9)),((12,13),(14,15))))),(20,16))));
((1,2),((3,4),((((10,17),5),(((6,7),9),((8,(11,(12,13))),(14,15)))),((20,16),(18,19)))));
((1,2),((3,4),((((11,(17,(18,19))),5),(((8,9),10),((12,13),((14,15),16)))),(20,(6,7)))));
((1,2),(((3,4),(5,(((6,7),9),((8,(11,(12,13))),(14,15))))),((10,17),((20,16),(18,19)))));
((1,2),((3,4),((((10,(11,17)),5),((6,7),(8,9))),(((12,13),(14,15)),((20,16),(18,19))))));
((1,2),(((3,4),((6,7),9)),(((10,17),5),(((8,(11,(12,13))),((14,15),16)),(20,(18,19))))));
((1,2),(((3,4),(5,9)),((10,(11,(17,(18,19)))),(((8,(12,13)),(14,15)),((20,(6,7)),16)))));
((1,2),(((3,4),(5,((6,7),(8,9)))),((10,(11,17)),(((12,13),((14,15),16)),(20,(18,19))))));
((1,2),((3,4),(((10,(17,(18,19))),(5,((6,7),9))),(((8,(11,(12,13))),(14,15)),(20,16)))));
((1,2),(((3,4),9),(((10,17),5),(((8,(11,(12,13))),(14,15)),(((20,(6,7)),16),(18,19))))));
((1,2),((3,4),(((11,17),(5,(((6,7),(8,9)),10))),(((12,13),((14,15),16)),(20,(18,19))))));
((1,2),(((3,4),(5,(((6,7),9),10))),((11,(17,(18,19))),(((8,(12,13)),(14,15)),(20,16)))));
((1,2),(((3,4),(9,((8,(11,(12,13))),((14,15),16)))),(((10,17),5),((20,(6,7)),(18,19)))));
((1,2),((3,4),((17,(5,((((6,7),9),10),((8,(11,(12,13))),(14,15))))),((20,16),(18,19)))));
((1,2),((3,4),(((17,(18,19)),(5,((((6,7),(8,9)),10),((11,(12,13)),((14,15),16))))),20)));
((1,2),(((3,4),(5,(((6,7),(8,9)),10))),((17,(18,19)),(((11,(12,13)),((14,15),16)),20))));
((1,2),(((3,4),(5,((6,7),9))),((10,17),(((8,(11,(12,13))),((14,15),16)),(20,(18,19))))));
((1,2),(((3,4),(5,(9,10))),((11,17),(((8,(12,13)),((14,15),16)),((20,(6,7)),(18,19))))));
((1,2),((3,4),((17,(5,((9,10),((8,(11,(12,13))),(14,15))))),(((20,(6,7)),16),(18,19)))));
((1,2),((3,4),(((10,17),(5,((6,7),(8,9)))),(((11,(12,13)),((14,15),16)),(20,(18,19))))));
