((2,(((9,1),(14,15)),((6,7),17))),(((18,(11,((12,13),10))),(16,(19,20))),(((3,4),5),8)));
(((2,(((3,4),5),((6,7),8))),((((9,1),((10,11),(12,13))),(14,15)),17)),((18,19),(16,20)));
((((1,(2,(5,((6,7),8)))),((3,4),(14,15))),(17,9)),(((18,19),((10,11),(12,13))),(16,20)));
(((2,(((3,4),5),((6,7),8))),((14,15),(17,(9,1)))),(((18,19),((10,11),(12,13))),(16,20)));
(((2,((3,4),((9,1),(14,15)))),(7,17)),((((18,19),(11,((12,13),10))),((16,6),20)),(5,8)));
((((2,(((3,4),5),8)),(((9,1),((10,11),(12,13))),((14,15),(16,6)))),(7,17)),(18,(19,20)));
((2,(((14,15),(16,6)),(17,((9,1),((10,11),(12,13)))))),((18,(19,20)),(((3,4),5),(7,8))));
((((1,(2,(((3,4),5),(7,8)))),((14,15),(16,6))),(17,(9,(11,((12,13),10))))),(18,(19,20)));
(((1,2),(((9,((10,11),(12,13))),(14,15)),17)),(((18,19),(16,20)),(((3,4),5),((6,7),8))));
(((1,2),(((3,4),((9,(11,((12,13),10))),((14,15),16))),17)),((18,(19,20)),(5,((6,7),8))));
((((2,(5,8)),((3,4),((9,1),((14,15),16)))),((6,7),17)),(((18,19),(11,((12,13),10))),20));
(((1,(2,(5,8))),(((3,4),((9,(11,((12,13),10))),((14,15),(16,6)))),(7,17))),((18,19),20));
((((1,(2,(((3,4),5),8))),((9,((10,11),(12,13))),((14,15),(16,6)))),(7,17)),((18,19),20));
(((2,((3,4),(14,15))),(17,((9,1),((10,11),(12,13))))),((18,((16,6),(19,20))),(5,(7,8))));
(((2,(5,((6,7),8))),(((3,4),((14,15),16)),(17,(9,1)))),(((18,19),((10,11),(12,13))),20));
