((((1,2),(13,6)),((((9,(7,8)),((10,11),12)),(15,(16,17))),(14,20))),((3,(4,5)),(18,19)));
((((1,2),((3,(4,5)),((((6,(7,8)),9),((10,11),12)),(13,14)))),((15,(16,17)),20)),(18,19));
((((1,2),((13,14),(6,(7,8)))),((((10,11),12),(15,(16,17))),(20,9))),((3,(4,5)),(18,19)));
((((1,2),(((10,11),12),((13,14),(6,(7,8))))),((15,(16,17)),(20,9))),((3,(4,5)),(18,19)));
((((1,2),((3,(4,5)),(12,((13,(10,11)),(6,(7,8)))))),((15,(16,17)),((14,20),9))),(18,19));
(((1,2),((3,(4,5)),((13,(10,11)),(6,(7,8))))),((12,((15,(16,17)),(18,19))),((14,20),9)));
(((1,2),((3,(4,5)),((13,(10,11)),14))),((12,((15,(16,17)),(18,19))),(20,(6,(9,(7,8))))));
((((1,2),(((9,(7,8)),((10,11),12)),((13,14),6))),((15,(16,17)),20)),((3,(4,5)),(18,19)));
(((1,2),((3,(4,5)),(12,(13,(10,11))))),(((15,(16,17)),(18,19)),((14,20),(6,(9,(7,8))))));
(((1,2),(((6,(9,(7,8))),12),((13,(10,11)),14))),(((15,(16,17)),((3,(4,5)),(18,19))),20));
((((1,2),((3,(4,5)),((9,((10,11),12)),((13,14),(6,(7,8)))))),((15,(16,17)),20)),(18,19));
(((1,2),(((9,(7,8)),12),(((13,(10,11)),14),6))),(((15,(16,17)),((3,(4,5)),(18,19))),20));
((((1,2),((13,(10,11)),6)),((((9,(7,8)),12),(15,(16,17))),(14,20))),((3,(4,5)),(18,19)));
((((1,2),(((13,(10,11)),14),(6,(7,8)))),((12,(15,(16,17))),(20,9))),((3,(4,5)),(18,19)));
((((1,2),((3,(4,5)),(((9,(7,8)),12),((13,(10,11)),6)))),((15,(16,17)),(14,20))),(18,19));
(((1,2),((3,(4,5)),(13,(10,11)))),((12,((15,(16,17)),(18,19))),((14,20),(6,(9,(7,8))))));
((((1,2),((3,(4,5)),((13,14),6))),((((9,(7,8)),((10,11),12)),(15,(16,17))),20)),(18,19));
(((1,2),((3,(4,5)),((13,(10,11)),(6,(7,8))))),(((9,12),((15,(16,17)),(18,19))),(14,20)));
(((1,2),((3,(4,5)),((9,((10,11),12)),(13,(6,(7,8)))))),(((15,(16,17)),(18,19)),(14,20)));
(((1,2),((3,(4,5)),(12,(((13,(10,11)),14),6)))),(((15,(16,17)),(18,19)),(20,(9,(7,8)))));
((((1,2),((3,(4,5)),((13,(10,11)),14))),((((6,(9,(7,8))),12),(15,(16,17))),20)),(18,19));
(((1,2),((3,(4,5)),((13,14),6))),((((9,(7,8)),((10,11),12)),((15,(16,17)),(18,19))),20));
((((1,2),((3,(4,5)),13)),((((10,11),12),(15,(16,17))),((14,20),(6,(9,(7,8)))))),(18,19));
(((1,2),((13,(10,11)),6)),((12,((15,(16,17)),((3,(4,5)),(18,19)))),((14,20),(9,(7,8)))));
((((1,2),(12,((13,(10,11)),6))),((15,(16,17)),((14,20),(9,(7,8))))),((3,(4,5)),(18,19)));
((((1,2),((13,(10,11)),14)),((((6,(9,(7,8))),12),(15,(16,17))),20)),((3,(4,5)),(18,19)));
((((1,2),((3,(4,5)),(((10,11),12),((13,14),(6,(7,8)))))),((15,(16,17)),(20,9))),(18,19));
((((1,2),(((10,11),12),((13,14),6))),((15,(16,17)),(20,(9,(7,8))))),((3,(4,5)),(18,19)));
(((1,2),((9,12),((13,(10,11)),(6,(7,8))))),(((15,(16,17)),((3,(4,5)),(18,19))),(14,20)));
((((1,2),((13,14),6)),((((10,11),12),(15,(16,17))),(20,(9,(7,8))))),((3,(4,5)),(18,19)));
((((1,2),((3,(4,5)),(13,14))),((((10,11),12),(15,(16,17))),(20,(6,(9,(7,8)))))),(18,19));
((((1,2),((3,(4,5)),(13,(6,(7,8))))),(((9,((10,11),12)),(15,(16,17))),(14,20))),(18,19));
(((1,2),((3,(4,5)),(((13,(10,11)),14),(6,(7,8))))),(((9,12),((15,(16,17)),(18,19))),20));
((((1,2),(12,(((13,(10,11)),14),(6,(7,8))))),((15,(16,17)),(20,9))),((3,(4,5)),(18,19)));
(((1,2),(((10,11),12),(13,14))),(((15,(16,17)),((3,(4,5)),(18,19))),(20,((6,(7,8)),9))));
((((1,2),((3,(4,5)),(((10,11),12),(13,(6,(7,8)))))),((15,(16,17)),((14,20),9))),(18,19));
((((1,2),((3,(4,5)),((((6,(7,8)),9),12),(13,(10,11))))),((15,(16,17)),(14,20))),(18,19));
((((1,2),(12,(13,(10,11)))),((15,(16,17)),((14,20),(6,(9,(7,8)))))),((3,(4,5)),(18,19)));
(((1,2),(13,(6,(7,8)))),((((10,11),12),((15,(16,17)),((3,(4,5)),(18,19)))),((14,20),9)));
((((1,2),(12,(13,(10,11)))),((15,(16,17)),((14,20),((6,(7,8)),9)))),((3,(4,5)),(18,19)));
(((1,2),((13,14),6)),((((9,(7,8)),((10,11),12)),((15,(16,17)),((3,(4,5)),(18,19)))),20));
(((1,2),((3,(4,5)),(13,14))),(((((6,(7,8)),9),((10,11),12)),((15,(16,17)),(18,19))),20));
(((1,2),13),((((10,11),12),((15,(16,17)),((3,(4,5)),(18,19)))),((14,20),(6,(9,(7,8))))));
(((1,2),((13,(10,11)),14)),((((6,(9,(7,8))),12),((15,(16,17)),((3,(4,5)),(18,19)))),20));
((((1,2),(13,14)),((((10,11),12),(15,(16,17))),(20,((6,(7,8)),9)))),((3,(4,5)),(18,19)));
((((1,2),((3,(4,5)),(13,(10,11)))),((12,(15,(16,17))),((14,20),(6,(9,(7,8)))))),(18,19));
(((1,2),((13,(10,11)),(6,(7,8)))),((12,((15,(16,17)),((3,(4,5)),(18,19)))),((14,20),9)));
((((1,2),((9,12),(((13,(10,11)),14),(6,(7,8))))),((15,(16,17)),20)),((3,(4,5)),(18,19)));
((((1,2),((3,(4,5)),13)),((((10,11),12),(15,(16,17))),((14,20),((6,(7,8)),9)))),(18,19));
(((1,2),(((10,11),12),(13,(6,(7,8))))),(((15,(16,17)),((3,(4,5)),(18,19))),((14,20),9)));
