((((4, 5), (((6, (7, 8)), 9), 10)), (((14, 15), ((11, 12), 13)), (16, 17))), ((((1, 2), 3), 19), (18, 20)));
((((1, 2), 3), ((4, (((6, (7, 8)), 9), 10)), (((14, 15), ((11, 12), 13)), (16, 17)))), ((5, 19), (18, 20)));
(((4, (((6, (7, 8)), 9), 10)), (((14, 15), ((11, 12), 13)), ((16, 17), 18))), ((5, (((1, 2), 3), 19)), 20));
((((1, 2), 3), ((4, ((((6, (7, 8)), 9), 10), ((11, 12), 13))), ((14, 15), (16, 17)))), ((5, 19), (18, 20)));
((((1, 2), 3), (((4, 5), ((((6, (7, 8)), 9), 10), ((11, 12), 13))), ((14, 15), ((16, 17), 18)))), (19, 20));
((((1, 2), 3), (((4, 5), ((((6, (7, 8)), 9), 10), ((11, 12), 13))), ((14, 15), (16, 17)))), (19, (18, 20)));
((((4, 5), ((((6, (7, 8)), 9), 10), ((11, 12), 13))), ((14, 15), ((16, 17), 18))), ((((1, 2), 3), 19), 20));
((((1, 2), 3), (((4, 5), (((6, (7, 8)), 9), 10)), (((14, 15), ((11, 12), 13)), (16, 17)))), (19, (18, 20)));
((((1, 2), 3), ((4, (((6, (7, 8)), 9), 10)), (((14, 15), ((11, 12), 13)), ((16, 17), 18)))), ((5, 19), 20));
((((1, 2), 3), ((4, ((((6, (7, 8)), 9), 10), ((11, 12), 13))), ((14, 15), ((16, 17), 18)))), ((5, 19), 20));
((((1, 2), 3), (((4, 5), (((6, (7, 8)), 9), 10)), (((14, 15), ((11, 12), 13)), ((16, 17), 18)))), (19, 20));
((((4, 5), ((((6, (7, 8)), 9), 10), ((11, 12), 13))), ((14, 15), (16, 17))), ((((1, 2), 3), 19), (18, 20)));
(((4, ((((6, (7, 8)), 9), 10), ((11, 12), 13))), ((14, 15), ((16, 17), 18))), ((5, (((1, 2), 3), 19)), 20));
(((4, (((6, (7, 8)), 9), 10)), (((14, 15), ((11, 12), 13)), (16, 17))), ((5, (((1, 2), 3), 19)), (18, 20)));
((((4, 5), (((6, (7, 8)), 9), 10)), (((14, 15), ((11, 12), 13)), ((16, 17), 18))), ((((1, 2), 3), 19), 20));
