(((((2, (3, 4)), ((5, 6), 8)), ((9, 7), ((10, ((11, 12), 13)), (14, 15)))), 20), (((1, 16), (17, 18)), 19));
((((2, (3, 4)), (5, 6)), ((9, 7), ((10, ((11, 12), 13)), (14, 15)))), ((((1, 16), (17, 18)), 19), (20, 8)));
((((1, ((2, (3, 4)), (((5, 6), 7), 8))), (9, ((10, ((11, 12), 13)), (14, 15)))), 20), ((16, (17, 18)), 19));
(((9, 7), ((10, ((11, 12), 13)), (14, 15))), ((((16, (17, 18)), 19), (1, ((2, (3, 4)), ((5, 6), 8)))), 20));
((9, ((10, ((11, 12), 13)), (14, 15))), (((((1, 16), (17, 18)), 19), ((2, (3, 4)), ((5, 6), 7))), (20, 8)));
((((2, (3, 4)), ((5, 6), 8)), ((9, 7), ((10, ((11, 12), 13)), (14, 15)))), ((((1, 16), (17, 18)), 19), 20));
((((2, 3), (5, 6)), ((9, 7), ((10, ((11, 12), 13)), (14, 15)))), ((((1, 16), (17, 18)), (4, 19)), (20, 8)));
((9, ((10, ((11, 12), 13)), (14, 15))), (((((1, 16), (17, 18)), (4, 19)), ((2, 3), ((5, 6), 7))), (20, 8)));
(((9, ((10, ((11, 12), 13)), (14, 15))), (20, 8)), (((16, (17, 18)), 19), (1, ((2, (3, 4)), ((5, 6), 7)))));
((((2, 3), ((5, 6), 8)), ((9, 7), ((10, ((11, 12), 13)), (14, 15)))), ((((1, 16), (17, 18)), (4, 19)), 20));
(((9, ((10, ((11, 12), 13)), (14, 15))), (20, 8)), ((((1, 16), (17, 18)), 19), ((2, (3, 4)), ((5, 6), 7))));
(((((2, 3), (((5, 6), 7), 8)), (9, ((10, ((11, 12), 13)), (14, 15)))), 20), (((1, 16), (17, 18)), (4, 19)));
(((9, ((10, ((11, 12), 13)), (14, 15))), 20), ((((1, 16), (17, 18)), 19), ((2, (3, 4)), (((5, 6), 7), 8))));
((((9, 7), ((10, ((11, 12), 13)), (14, 15))), (20, 8)), ((((1, 16), (17, 18)), (4, 19)), ((2, 3), (5, 6))));
(((9, ((10, ((11, 12), 13)), (14, 15))), 20), ((((1, 16), (17, 18)), (4, 19)), ((2, 3), (((5, 6), 7), 8))));
