(((((4, (5, 6)), (((9, 10), (7, 8)), ((11, (12, 13)), (14, 15)))), ((16, 17), (18, 19))), (1, 20)), (2, 3));
(((((2, 3), 4), ((5, 6), ((11, (12, 13)), (14, 15)))), (((16, 17), ((9, 10), (7, 8))), (18, 19))), (1, 20));
((((4, ((5, 6), ((11, (12, 13)), (14, 15)))), (((16, 17), ((9, 10), (7, 8))), (18, (3, 19)))), (1, 20)), 2);
((((2, 4), (((5, 6), (7, 8)), ((9, 10), ((11, (12, 13)), (14, 15))))), ((16, 17), (18, (3, 19)))), (1, 20));
((((4, ((5, 6), ((11, (12, 13)), (14, 15)))), (18, 19)), (1, (20, ((16, 17), ((9, 10), (7, 8)))))), (2, 3));
(((((1, (2, 3)), 4), (((5, 6), (7, 8)), ((9, 10), ((11, (12, 13)), (14, 15))))), (18, 19)), (20, (16, 17)));
((((4, ((5, 6), (((9, 10), (7, 8)), ((11, (12, 13)), (14, 15))))), (18, (3, 19))), (20, (16, 17))), (1, 2));
((((4, (((5, 6), (7, 8)), ((11, (12, 13)), (14, 15)))), (18, (3, 19))), (1, (20, ((16, 17), (9, 10))))), 2);
(((((4, (5, 6)), (((9, 10), (7, 8)), ((11, (12, 13)), (14, 15)))), (18, 19)), (1, (20, (16, 17)))), (2, 3));
(((((4, (5, 6)), (((9, 10), (7, 8)), ((11, (12, 13)), (14, 15)))), ((16, 17), (18, (3, 19)))), (1, 20)), 2);
(((((2, 4), ((5, 6), (7, 8))), ((9, 10), ((11, (12, 13)), (14, 15)))), (18, (3, 19))), (1, (20, (16, 17))));
((((2, 4), (((5, 6), (7, 8)), ((9, 10), ((11, (12, 13)), (14, 15))))), (18, (3, 19))), (1, (20, (16, 17))));
((((((1, 2), 4), (5, 6)), (((9, 10), (7, 8)), ((11, (12, 13)), (14, 15)))), (18, (3, 19))), (20, (16, 17)));
((((4, ((5, 6), (((9, 10), (7, 8)), ((11, (12, 13)), (14, 15))))), (18, 19)), (1, (20, (16, 17)))), (2, 3));
((((2, 4), ((5, 6), ((11, (12, 13)), (14, 15)))), (((16, 17), ((9, 10), (7, 8))), (18, (3, 19)))), (1, 20));
