((1, (((2, (3, 4)), (5, (6, 7))), (((16, 17), 18), (23, 24)))), (((25, 26), ((27, 28), ((29, 30), 31))), ((((32, 33), (34, 35)), (((36, 37), 38), (((39, 40), 41), (42, (19, (20, (21, 22))))))), (((9, ((10, (11, 12)), 8)), (13, (14, 15))), (((43, 44), ((45, (46, 47)), 48)), (49, 50))))));
((((2, (3, 4)), (5, (6, 7))), (((16, 17), 18), ((19, (20, (21, 22))), 23))), (((24, (25, 26)), ((27, 28), ((29, 30), 31))), ((((32, 33), (34, 35)), (((36, 37), 38), (((39, 40), 41), 42))), (1, (((9, ((10, (11, 12)), 8)), (13, (14, 15))), (((43, 44), ((45, (46, 47)), 48)), (49, 50)))))));
((((2, (3, 4)), (5, (6, 7))), (((16, 17), 18), ((19, (20, (21, 22))), 23))), ((24, (25, 26)), ((((32, 33), (34, 35)), (((36, 37), 38), (28, (((39, 40), 41), (42, (27, ((29, 30), 31))))))), (1, ((8, ((9, (10, (11, 12))), (13, (14, 15)))), (((43, 44), ((45, (46, 47)), 48)), (49, 50)))))));
((1, (((2, (3, 4)), (5, (6, 7))), (((9, ((10, (11, 12)), 8)), (13, (14, 15))), (((16, 17), 18), (((19, (20, (21, 22))), 23), 24))))), ((25, 26), ((((32, 33), (34, 35)), (((36, 37), 38), (28, (((39, 40), 41), (42, (27, ((29, 30), 31))))))), (((43, 44), ((45, (46, 47)), 48)), (49, 50)))));
((1, (((2, (3, 4)), (5, (6, 7))), (((16, 17), 18), (((19, (20, (21, 22))), 23), 24)))), ((25, 26), ((((32, 33), (34, 35)), (((36, 37), 38), (((39, 40), 41), (42, ((27, 28), ((29, 30), 31)))))), (((9, ((10, (11, 12)), 8)), (13, (14, 15))), (((43, 44), ((45, (46, 47)), 48)), (49, 50))))));
((1, (((2, (3, 4)), (5, (6, 7))), (((9, ((10, (11, 12)), 8)), (13, (14, 15))), (((16, 17), 18), 23)))), ((24, (25, 26)), ((((32, 33), (34, 35)), (((36, 37), 38), (28, (((39, 40), 41), ((42, (19, (20, (21, 22)))), (27, ((29, 30), 31))))))), (((43, 44), ((45, (46, 47)), 48)), (49, 50)))));
((1, (((2, (3, 4)), (5, (6, 7))), ((8, ((9, (10, (11, 12))), (13, (14, 15)))), (((16, 17), 18), (23, 24))))), ((25, 26), ((((32, 33), (34, 35)), (((36, 37), 38), (((39, 40), 41), ((42, (19, (20, (21, 22)))), ((27, 28), ((29, 30), 31)))))), (((43, 44), ((45, (46, 47)), 48)), (49, 50)))));
((((2, (3, 4)), (5, (6, 7))), (((9, ((10, (11, 12)), 8)), (13, (14, 15))), (((16, 17), 18), ((19, (20, (21, 22))), 23)))), (((24, (25, 26)), ((27, 28), ((29, 30), 31))), ((((32, 33), (34, 35)), (((36, 37), 38), (((39, 40), 41), 42))), (1, (((43, 44), ((45, (46, 47)), 48)), (49, 50))))));
((((2, (3, 4)), (5, (6, 7))), ((8, ((9, (10, (11, 12))), (13, (14, 15)))), (((16, 17), 18), (23, 24)))), ((25, 26), ((((32, 33), (34, 35)), (((36, 37), 38), (((39, 40), 41), ((42, (19, (20, (21, 22)))), ((27, 28), ((29, 30), 31)))))), (1, (((43, 44), ((45, (46, 47)), 48)), (49, 50))))));
((((2, (3, 4)), (5, (6, 7))), (((16, 17), 18), (23, 24))), ((25, 26), ((((32, 33), (34, 35)), (((36, 37), 38), (((39, 40), 41), ((42, (19, (20, (21, 22)))), ((27, 28), ((29, 30), 31)))))), (1, ((8, ((9, (10, (11, 12))), (13, (14, 15)))), (((43, 44), ((45, (46, 47)), 48)), (49, 50)))))));
((((2, (3, 4)), (5, (6, 7))), ((8, ((9, (10, (11, 12))), (13, (14, 15)))), (((16, 17), 18), (23, 24)))), (((25, 26), (27, ((29, 30), 31))), ((((32, 33), (34, 35)), (((36, 37), 38), (28, (((39, 40), 41), (42, (19, (20, (21, 22)))))))), (1, (((43, 44), ((45, (46, 47)), 48)), (49, 50))))));
((1, (((2, (3, 4)), (5, (6, 7))), ((8, ((9, (10, (11, 12))), (13, (14, 15)))), (((16, 17), 18), (23, 24))))), (((25, 26), (27, ((29, 30), 31))), ((((32, 33), (34, 35)), (((36, 37), 38), (28, (((39, 40), 41), (42, (19, (20, (21, 22)))))))), (((43, 44), ((45, (46, 47)), 48)), (49, 50)))));
((1, (((2, (3, 4)), (5, (6, 7))), ((8, ((9, (10, (11, 12))), (13, (14, 15)))), (((16, 17), 18), 23)))), (((24, (25, 26)), (27, ((29, 30), 31))), ((((32, 33), (34, 35)), (((36, 37), 38), (28, (((39, 40), 41), (42, (19, (20, (21, 22)))))))), (((43, 44), ((45, (46, 47)), 48)), (49, 50)))));
((1, (((2, (3, 4)), (5, (6, 7))), (((9, ((10, (11, 12)), 8)), (13, (14, 15))), (((16, 17), 18), (((19, (20, (21, 22))), 23), 24))))), (((25, 26), ((27, 28), ((29, 30), 31))), ((((32, 33), (34, 35)), (((36, 37), 38), (((39, 40), 41), 42))), (((43, 44), ((45, (46, 47)), 48)), (49, 50)))));
((1, (((2, (3, 4)), (5, (6, 7))), (((16, 17), 18), (23, 24)))), (((25, 26), (27, ((29, 30), 31))), ((((32, 33), (34, 35)), (((36, 37), 38), (28, (((39, 40), 41), (42, (19, (20, (21, 22)))))))), ((8, ((9, (10, (11, 12))), (13, (14, 15)))), (((43, 44), ((45, (46, 47)), 48)), (49, 50))))));
