((((((1, 2), 3), (((8, 9), ((10, 11), 12)), (13, 14))), (5, 17)), (4, (6, 7))), (((18, 19), 20), (15, 16)));
(((((1, 2), 3), ((((4, 5), (6, 7)), ((9, (10, 11)), (13, 14))), (15, (16, 12)))), ((17, 8), (18, 19))), 20);
((((((1, 2), 3), (((9, ((10, 11), 12)), (13, 14)), (15, 16))), (((5, 17), 8), (18, 19))), (4, (6, 7))), 20);
(((((1, 2), 3), ((4, (6, 7)), (((8, 9), (10, 11)), (13, 14)))), ((5, 17), (18, 19))), (20, (15, (16, 12))));
(((1, 2), 3), (((((4, 5), (6, 7)), ((9, (10, 11)), (13, 14))), (17, 8)), (((18, 19), 20), (15, (16, 12)))));
((((((1, 2), 3), (((8, 9), (10, 11)), (13, 14))), (17, (18, 19))), ((4, 5), (6, 7))), (20, (15, (16, 12))));
((((((1, 2), 3), ((((8, 9), ((10, 11), 12)), (13, 14)), (15, 16))), (17, (18, 19))), ((4, 5), (6, 7))), 20);
(((((1, 2), 3), (((4, 7), (((8, 9), ((10, 11), 12)), (13, 14))), (6, (15, 16)))), (5, 17)), ((18, 19), 20));
(((1, 2), 3), ((((4, 7), ((9, (10, 11)), (13, 14))), ((5, 17), 8)), (((18, 19), 20), (6, (15, (16, 12))))));
(((1, 2), 3), ((((((9, ((10, 11), 12)), (13, 14)), (15, 16)), ((17, 8), (18, 19))), ((4, 5), (6, 7))), 20));
((((((1, 2), 3), ((((8, 9), (10, 11)), (13, 14)), (6, (15, (16, 12))))), (17, (18, 19))), ((4, 5), 7)), 20);
(((1, 2), 3), ((((((9, ((10, 11), 12)), (13, 14)), (15, 16)), (((5, 17), 8), (18, 19))), (4, (6, 7))), 20));
(((1, 2), 3), ((((((8, 9), (10, 11)), (13, 14)), (17, (18, 19))), ((4, 5), (6, 7))), (20, (15, (16, 12)))));
(((1, 2), 3), (((((9, ((10, 11), 12)), (13, 14)), ((5, 17), 8)), (4, 7)), (((18, 19), 20), (6, (15, 16)))));
(((((1, 2), 3), ((((4, 5), (6, 7)), ((9, ((10, 11), 12)), (13, 14))), (15, 16))), (17, 8)), ((18, 19), 20));
