(((8, (10, (11, (12, 13)))), (1, ((3, 4), (2, 5)))), (((((14, 15), 16), (17, 18)), (9, (19, (6, 7)))), 20));
((((8, 9), (10, (11, (12, 13)))), ((1, 2), ((3, 4), (5, (6, 7))))), ((((14, 15), 16), 19), ((17, 18), 20)));
(((8, (10, (11, (12, 13)))), (1, ((3, 4), ((2, 5), (6, 7))))), ((((14, (15, 16)), (17, 18)), (9, 19)), 20));
(((8, (10, (11, (12, 13)))), ((1, 2), ((3, 4), 5))), (((14, (15, 16)), (9, (19, (6, 7)))), ((17, 18), 20)));
(((((1, 2), ((3, 4), (5, (6, 7)))), (8, 9)), (10, (11, 12))), (((((14, 15), 16), (17, 18)), (13, 19)), 20));
((((1, ((3, 4), (2, 5))), (8, 9)), (10, (11, 12))), (((14, (15, 16)), (13, (19, (6, 7)))), ((17, 18), 20)));
(((((1, 2), ((3, 4), 5)), (8, 9)), (10, (11, 12))), ((((14, (15, 16)), (17, 18)), (13, (19, (6, 7)))), 20));
((((1, ((3, 4), (2, 5))), (8, 9)), (10, (11, (12, 13)))), ((((14, (15, 16)), (17, 18)), (19, (6, 7))), 20));
(((8, (10, (11, 12))), ((1, 2), ((3, 4), (5, (6, 7))))), ((((14, 15), 16), (9, (13, 19))), ((17, 18), 20)));
((((8, 9), (10, (11, (12, 13)))), (1, ((3, 4), (2, 5)))), (((14, (15, 16)), (19, (6, 7))), ((17, 18), 20)));
((((8, 9), (10, (11, (12, 13)))), (1, ((3, 4), ((2, 5), (6, 7))))), ((((14, (15, 16)), (17, 18)), 19), 20));
((((1, ((3, 4), ((2, 5), (6, 7)))), 8), (10, (11, (12, 13)))), ((((14, 15), 16), (9, 19)), ((17, 18), 20)));
((((1, ((3, 4), ((2, 5), (6, 7)))), (8, 9)), (10, (11, (12, 13)))), (((14, (15, 16)), 19), ((17, 18), 20)));
((((8, 9), (10, (11, (12, 13)))), ((1, 2), ((3, 4), (5, (6, 7))))), (((14, (15, 16)), 19), ((17, 18), 20)));
((((8, 9), (10, (11, 12))), ((1, 2), ((3, 4), 5))), (((((14, 15), 16), (17, 18)), (13, (19, (6, 7)))), 20));
