(((4, 5), ((6, 7), 8)), ((((9, (10, (11, 12))), (13, 14)), ((15, (16, (17, 18))), (19, 20))), ((1, 2), 3)));
(((4, 5), ((6, 7), 8)), ((((15, (16, (17, 18))), (19, 20)), ((1, 2), 3)), ((9, (10, (11, 12))), (13, 14))));
((((1, 2), 3), ((4, 5), ((6, 7), 8))), (((9, (11, 12)), (13, 14)), ((15, ((16, (17, 18)), 10)), (19, 20))));
(((4, 5), ((6, 7), 8)), ((3, (((9, (11, 12)), (13, 14)), ((15, ((16, (17, 18)), 10)), (19, 20)))), (1, 2)));
(((1, 2), ((4, 5), ((6, 7), 8))), (3, (((9, (11, 12)), (13, 14)), ((15, ((16, (17, 18)), 10)), (19, 20)))));
((((1, 2), 3), ((4, 5), ((6, 7), 8))), (((15, (16, (17, 18))), (19, 20)), ((9, (10, (11, 12))), (13, 14))));
(((4, 5), ((6, 7), 8)), (((3, ((15, (16, (17, 18))), (19, 20))), (1, 2)), ((9, (10, (11, 12))), (13, 14))));
((((1, 2), 3), ((4, 5), ((6, 7), 8))), (((15, ((16, (17, 18)), 10)), (19, 20)), ((9, (11, 12)), (13, 14))));
(((4, 5), ((6, 7), 8)), ((3, (((9, (10, (11, 12))), (13, 14)), ((15, (16, (17, 18))), (19, 20)))), (1, 2)));
(((4, 5), ((6, 7), 8)), (((3, ((15, ((16, (17, 18)), 10)), (19, 20))), (1, 2)), ((9, (11, 12)), (13, 14))));
(((1, 2), ((4, 5), ((6, 7), 8))), (3, (((9, (10, (11, 12))), (13, 14)), ((15, (16, (17, 18))), (19, 20)))));
(((1, 2), ((4, 5), ((6, 7), 8))), ((3, ((15, (16, (17, 18))), (19, 20))), ((9, (10, (11, 12))), (13, 14))));
(((4, 5), ((6, 7), 8)), ((((15, ((16, (17, 18)), 10)), (19, 20)), ((1, 2), 3)), ((9, (11, 12)), (13, 14))));
(((1, 2), ((4, 5), ((6, 7), 8))), ((3, ((15, ((16, (17, 18)), 10)), (19, 20))), ((9, (11, 12)), (13, 14))));
(((4, 5), ((6, 7), 8)), ((((9, (11, 12)), (13, 14)), ((15, ((16, (17, 18)), 10)), (19, 20))), ((1, 2), 3)));
((((1, 2), 3), ((4, 5), ((6, 7), 8))), (((9, (10, (11, 12))), (13, 14)), ((15, (16, (17, 18))), (19, 20))));
