((((1, ((2, 3), 5)), 10), ((13, 14), (((15, 16), 17), (19, (18, 4))))), ((20, ((6, 7), (8, 9))), (11, 12)));
((((1, ((2, 3), (4, 5))), 10), ((13, 14), (((15, 16), 17), (19, 18)))), ((20, ((6, 7), (8, 9))), (11, 12)));
((((((2, 3), (4, 5)), 10), 1), ((13, 14), (((15, 16), 17), (19, 18)))), ((20, ((6, 7), (8, 9))), (11, 12)));
(((((1, ((2, 3), 5)), (((6, 7), (8, 9)), (10, (11, 12)))), (((15, 16), 17), (19, (18, 4)))), 14), (20, 13));
(((((1, ((2, 3), (4, 5))), (((6, 7), (8, 9)), 10)), (((15, 16), 17), (19, 18))), 14), ((20, (11, 12)), 13));
((((((2, 3), 5), 10), 1), (((15, 16), 17), (19, (18, 4)))), (((20, ((6, 7), (8, 9))), (11, 12)), (13, 14)));
(((((1, ((2, 3), 5)), 10), (((15, 16), 17), (19, (18, 4)))), 14), (((20, ((6, 7), (8, 9))), (11, 12)), 13));
((((((2, 3), (4, 5)), (((6, 7), (8, 9)), (10, (11, 12)))), 1), ((13, 14), (((15, 16), 17), (19, 18)))), 20);
((((1, ((2, 3), (4, 5))), (10, (11, 12))), (((15, 16), 17), (19, 18))), ((20, ((6, 7), (8, 9))), (13, 14)));
((((1, ((2, 3), (4, 5))), (10, (11, 12))), ((13, 14), (((15, 16), 17), (19, 18)))), (20, ((6, 7), (8, 9))));
((((((2, 3), 5), (10, (11, 12))), 1), (((15, 16), 17), (19, (18, 4)))), ((20, ((6, 7), (8, 9))), (13, 14)));
(((((1, ((2, 3), (4, 5))), (((6, 7), (8, 9)), (10, (11, 12)))), (13, (((15, 16), 17), (19, 18)))), 14), 20);
((((1, ((2, 3), 5)), (10, (11, 12))), (((15, 16), 17), (19, (18, 4)))), ((20, ((6, 7), (8, 9))), (13, 14)));
(((((1, ((2, 3), (4, 5))), (((6, 7), (8, 9)), 10)), (13, (((15, 16), 17), (19, 18)))), 14), (20, (11, 12)));
((((((2, 3), (4, 5)), (10, (11, 12))), 1), (((15, 16), 17), (19, 18))), ((20, ((6, 7), (8, 9))), (13, 14)));
(((((((2, 3), 5), (10, (11, 12))), 1), (13, (((15, 16), 17), (19, (18, 4))))), 14), (20, ((6, 7), (8, 9))));
(((((1, ((2, 3), 5)), (((6, 7), (8, 9)), (10, (11, 12)))), (13, (((15, 16), 17), (19, (18, 4))))), 14), 20);
((((((2, 3), (4, 5)), (((6, 7), (8, 9)), (10, (11, 12)))), 1), (((15, 16), 17), (19, 18))), (20, (13, 14)));
((((1, ((2, 3), 5)), (10, (11, 12))), ((13, 14), (((15, 16), 17), (19, (18, 4))))), (20, ((6, 7), (8, 9))));
((((1, ((2, 3), (4, 5))), 10), (((15, 16), 17), (19, 18))), (((20, ((6, 7), (8, 9))), (11, 12)), (13, 14)));
