((((1, 2), (((18, 19), ((20, 21), 22)), 23)), (24, (25, 26))), (((((27, ((((3, (((4, 5), (6, (7, 8))), 9)), 10), (((11, 12), 13), 14)), 17)), 28), (29, (30, 31))), (((32, (((33, 34), 35), 36)), ((37, 38), (39, (15, 16)))), (((40, 41), (42, 43)), ((44, 45), (46, (47, (48, 49))))))), 50));
(((1, 2), (((18, 19), 22), 23)), (((((27, ((((3, (((4, 5), (6, (7, 8))), 9)), 10), (((11, 12), 13), 14)), 17)), 28), (29, (30, 31))), ((((32, (((33, 34), 35), 36)), ((37, 38), (39, (15, 16)))), (((40, 41), (42, 43)), (44, (46, (47, (48, 49)))))), 45)), (50, (((20, 21), 24), (25, 26)))));
(((1, 2), ((((((3, (((4, 5), (6, (7, 8))), 9)), 10), (((11, 12), 13), 14)), ((15, 16), 17)), ((18, 19), 22)), 23)), (((27, 28), (((((32, (((33, 34), 35), 36)), ((37, 38), 39)), (((40, 41), (42, 43)), (44, (46, (47, (48, 49)))))), 45), (29, (30, 31)))), (50, (((20, 21), 24), (25, 26)))));
(((1, 2), (((18, 19), 22), 23)), ((((27, ((((3, (((4, 5), (6, (7, 8))), 9)), 10), (((11, 12), 13), 14)), 17)), 28), ((((32, (((33, 34), 35), 36)), ((37, 38), (39, (15, 16)))), (((40, 41), (42, 43)), ((44, 45), (46, (47, (48, 49)))))), (29, (30, 31)))), (50, (((20, 21), 24), (25, 26)))));
((((1, 2), ((((((3, (((4, 5), (6, (7, 8))), 9)), 10), (((11, 12), 13), 14)), ((15, 16), 17)), ((18, 19), ((20, 21), 22))), 23)), (24, (25, 26))), ((((27, 28), (29, (30, 31))), ((((32, (((33, 34), 35), 36)), ((37, 38), 39)), (((40, 41), (42, 43)), (44, (46, (47, (48, 49)))))), 45)), 50));
((((1, 2), (((((3, (((4, 5), (6, (7, 8))), 9)), 10), (((11, 12), 13), 14)), 17), ((18, 19), 22))), (((20, 21), 24), (25, 26))), (((27, 28), (((((32, (((33, 34), 35), 36)), ((37, 38), (39, (15, 16)))), (((40, 41), (42, 43)), ((23, 44), (46, (47, (48, 49)))))), 45), (29, (30, 31)))), 50));
(((1, 2), ((((((3, (((4, 5), (6, (7, 8))), 9)), 10), (((11, 12), 13), 14)), ((15, 16), 17)), ((18, 19), 22)), 23)), (((27, 28), ((((32, (((33, 34), 35), 36)), ((37, 38), 39)), (((40, 41), (42, 43)), ((44, 45), (46, (47, (48, 49)))))), (29, (30, 31)))), (50, (((20, 21), 24), (25, 26)))));
((((1, 2), (((18, 19), 22), 23)), (((20, 21), 24), (25, 26))), (((((27, ((((3, (((4, 5), (6, (7, 8))), 9)), 10), (((11, 12), 13), 14)), ((15, 16), 17))), 28), (29, (30, 31))), (((32, (((33, 34), 35), 36)), ((37, 38), 39)), (((40, 41), (42, 43)), ((44, 45), (46, (47, (48, 49))))))), 50));
(((1, 2), (((((3, (((4, 5), (6, (7, 8))), 9)), 10), (((11, 12), 13), 14)), 17), ((18, 19), ((20, 21), 22)))), ((((27, 28), (29, (30, 31))), ((((32, (((33, 34), 35), 36)), ((37, 38), (39, (15, 16)))), (((40, 41), (42, 43)), ((23, 44), (46, (47, (48, 49)))))), 45)), (50, (24, (25, 26)))));
(((1, 2), ((18, 19), ((20, 21), 22))), ((((27, ((((3, (((4, 5), (6, (7, 8))), 9)), 10), (((11, 12), 13), 14)), ((15, 16), 17))), 28), (((((32, (((33, 34), 35), 36)), ((37, 38), 39)), (((40, 41), (42, 43)), ((23, 44), (46, (47, (48, 49)))))), 45), (29, (30, 31)))), (50, (24, (25, 26)))));
((((1, 2), ((((((3, (((4, 5), (6, (7, 8))), 9)), 10), (((11, 12), 13), 14)), 17), ((18, 19), 22)), 23)), (((20, 21), 24), (25, 26))), ((((27, 28), (29, (30, 31))), ((((32, (((33, 34), 35), 36)), ((37, 38), (39, (15, 16)))), (((40, 41), (42, 43)), (44, (46, (47, (48, 49)))))), 45)), 50));
(((1, 2), ((((((3, (((4, 5), (6, (7, 8))), 9)), 10), (((11, 12), 13), 14)), ((15, 16), 17)), ((18, 19), ((20, 21), 22))), 23)), (((27, 28), (((((32, (((33, 34), 35), 36)), ((37, 38), 39)), (((40, 41), (42, 43)), (44, (46, (47, (48, 49)))))), 45), (29, (30, 31)))), (50, (24, (25, 26)))));
((((1, 2), ((((((3, (((4, 5), (6, (7, 8))), 9)), 10), (((11, 12), 13), 14)), ((15, 16), 17)), ((18, 19), ((20, 21), 22))), 23)), (24, (25, 26))), ((((27, 28), (29, (30, 31))), (((32, (((33, 34), 35), 36)), ((37, 38), 39)), (((40, 41), (42, 43)), ((44, 45), (46, (47, (48, 49))))))), 50));
((((1, 2), (((18, 19), ((20, 21), 22)), 23)), (24, (25, 26))), ((((27, ((((3, (((4, 5), (6, (7, 8))), 9)), 10), (((11, 12), 13), 14)), ((15, 16), 17))), 28), ((((32, (((33, 34), 35), 36)), ((37, 38), 39)), (((40, 41), (42, 43)), ((44, 45), (46, (47, (48, 49)))))), (29, (30, 31)))), 50));
((((1, 2), (((18, 19), 22), 23)), (((20, 21), 24), (25, 26))), (((((27, ((((3, (((4, 5), (6, (7, 8))), 9)), 10), (((11, 12), 13), 14)), ((15, 16), 17))), 28), (29, (30, 31))), ((((32, (((33, 34), 35), 36)), ((37, 38), 39)), (((40, 41), (42, 43)), (44, (46, (47, (48, 49)))))), 45)), 50));
(((1, 2), (((18, 19), 22), 23)), (((((27, ((((3, (((4, 5), (6, (7, 8))), 9)), 10), (((11, 12), 13), 14)), ((15, 16), 17))), 28), (29, (30, 31))), (((32, (((33, 34), 35), 36)), ((37, 38), 39)), (((40, 41), (42, 43)), ((44, 45), (46, (47, (48, 49))))))), (50, (((20, 21), 24), (25, 26)))));
((((1, 2), ((18, 19), ((20, 21), 22))), (24, (25, 26))), (((((27, ((((3, (((4, 5), (6, (7, 8))), 9)), 10), (((11, 12), 13), 14)), 17)), 28), (29, (30, 31))), (((32, (((33, 34), 35), 36)), ((37, 38), (39, (15, 16)))), (((40, 41), (42, 43)), (((23, 44), 45), (46, (47, (48, 49))))))), 50));
(((1, 2), (((((3, (((4, 5), (6, (7, 8))), 9)), 10), (((11, 12), 13), 14)), 17), ((18, 19), ((20, 21), 22)))), (((27, 28), ((((32, (((33, 34), 35), 36)), ((37, 38), (39, (15, 16)))), (((40, 41), (42, 43)), (((23, 44), 45), (46, (47, (48, 49)))))), (29, (30, 31)))), (50, (24, (25, 26)))));
((((1, 2), (((((3, (((4, 5), (6, (7, 8))), 9)), 10), (((11, 12), 13), 14)), 17), ((18, 19), ((20, 21), 22)))), (24, (25, 26))), ((((27, 28), (29, (30, 31))), ((((32, (((33, 34), 35), 36)), ((37, 38), (39, (15, 16)))), (((40, 41), (42, 43)), ((23, 44), (46, (47, (48, 49)))))), 45)), 50));
(((1, 2), ((((((3, (((4, 5), (6, (7, 8))), 9)), 10), (((11, 12), 13), 14)), 17), ((18, 19), ((20, 21), 22))), 23)), (((27, 28), ((((32, (((33, 34), 35), 36)), ((37, 38), (39, (15, 16)))), (((40, 41), (42, 43)), ((44, 45), (46, (47, (48, 49)))))), (29, (30, 31)))), (50, (24, (25, 26)))));
