((((1, 2), ((5, 7), 6)), (8, (((9, 10), 11), (12, 4)))), (13, (((14, 15), (16, ((17, 18), 19))), (20, 3))));
((((2, 1), ((5, 7), 6)), (8, (10, (12, 4)))), ((13, 11), (((14, 15), (16, ((17, 18), (19, 9)))), (20, 3))));
(((((1, (2, 3)), 4), (5, (6, 7))), (8, (((9, 10), 11), 12))), (13, (((14, 15), (16, ((17, 18), 19))), 20)));
((((1, 2), (5, (6, 7))), (8, (10, (12, 4)))), ((13, 11), (((14, 15), (16, ((17, 18), (19, 9)))), (20, 3))));
(((((1, (2, 3)), 4), ((5, 7), 6)), (8, ((9, 10), 12))), ((13, 11), (((14, 15), (16, ((17, 18), 19))), 20)));
(((((1, (2, 3)), 4), ((5, 7), 6)), (8, (9, 10))), (((13, 11), 12), (((14, 15), (16, ((17, 18), 19))), 20)));
(((((1, 2), 4), ((5, 7), 6)), (8, (9, 10))), (((13, 11), 12), (((14, 15), (16, ((17, 18), 19))), (20, 3))));
(((((1, (2, 3)), 4), (5, (6, 7))), (8, 10)), (((13, 11), 12), (((14, 15), (16, ((17, 18), (19, 9)))), 20)));
(((((2, 3), 1), ((5, 7), 6)), (8, (9, 10))), (((13, 11), (12, 4)), (((14, 15), (16, ((17, 18), 19))), 20)));
(((((1, 2), 4), (5, (6, 7))), (8, ((9, 10), 12))), ((13, 11), (((14, 15), (16, ((17, 18), 19))), (20, 3))));
((((((2, 3), 4), 1), (5, (6, 7))), (8, ((10, 11), 12))), (13, (((14, 15), (16, ((17, 18), (19, 9)))), 20)));
(((((1, (2, 3)), 4), (5, (6, 7))), (8, (9, 10))), (((13, 11), 12), (((14, 15), (16, ((17, 18), 19))), 20)));
((((1, (2, 3)), ((5, 7), 6)), (8, (10, 11))), ((13, (12, 4)), (((14, 15), (16, ((17, 18), (19, 9)))), 20)));
(((((2, 4), 1), (5, (6, 7))), (8, ((9, 10), 12))), ((13, 11), (((14, 15), (16, ((17, 18), 19))), (20, 3))));
(((((2, 4), 1), (5, (6, 7))), (8, 10)), (((13, 11), 12), (((14, 15), (16, ((17, 18), (19, 9)))), (20, 3))));
((((1, (2, 3)), (5, (6, 7))), (8, ((9, 10), 11))), ((13, (12, 4)), (((14, 15), (16, ((17, 18), 19))), 20)));
(((((2, 3), 1), ((5, 7), 6)), (8, (10, 11))), ((13, (12, 4)), (((14, 15), (16, ((17, 18), (19, 9)))), 20)));
((((1, (2, 3)), ((5, 7), 6)), (8, 10)), (((13, 11), (12, 4)), (((14, 15), (16, ((17, 18), (19, 9)))), 20)));
((((1, (2, 3)), ((5, 7), 6)), (8, ((9, 10), (12, 4)))), ((13, 11), (((14, 15), (16, ((17, 18), 19))), 20)));
(((((1, (2, 3)), 4), (5, (6, 7))), (8, ((10, 11), 12))), (13, (((14, 15), (16, ((17, 18), (19, 9)))), 20)));
