((((((3, 4), 5), 9), (((((10, 11), (12, 13)), 14), 15), 16)), ((((17, 18), 20), ((((21, 22), 23), (24, (25, 26))), (27, ((28, 29), 30)))), (31, ((32, 33), (34, 35))))), ((((36, 37), 38), 19), (((((39, 40), 41), ((42, 43), 44)), 45), (46, ((47, ((48, 49), (((6, 7), 8), 50))), (1, 2))))));
(((((3, 4), 9), (((((10, 11), (12, 13)), 14), 15), 16)), ((((17, 18), (19, 20)), ((((21, 22), 23), (24, (25, 26))), (27, ((28, 29), 30)))), ((31, 5), ((32, 33), (34, 35))))), (((36, 37), 38), (((((39, 40), 41), ((42, 43), 44)), 45), (46, ((47, ((48, 49), (((6, 7), 8), 50))), (1, 2))))));
(((((((1, 2), (3, 4)), 5), 9), (((((10, 11), (12, 13)), 14), 15), 16)), ((((17, 18), 20), ((((21, 22), 23), (24, (25, 26))), (27, ((28, 29), 30)))), (31, (32, (34, 35))))), (((((36, 37), 38), 19), (((((39, 40), 41), ((42, 43), 44)), 45), (46, (47, ((48, 49), (((6, 7), 8), 50)))))), 33));
((((((3, 4), 5), 9), (((((10, 11), (12, 13)), 14), 15), 16)), ((((17, 18), (19, 20)), ((((21, 22), 23), (24, (25, 26))), (27, ((28, 29), 30)))), (31, ((32, 33), (34, 35))))), (((36, 37), 38), (((((39, 40), 41), ((42, 43), 44)), 45), (46, ((47, ((48, 49), (((6, 7), 8), 50))), (1, 2))))));
((((((1, 2), (3, 4)), (((6, 7), 8), 9)), (((((10, 11), (12, 13)), 14), 15), 16)), ((((17, 18), 20), ((((21, 22), 23), (24, (25, 26))), (27, ((28, 29), 30)))), ((31, 5), ((32, 33), (34, 35))))), ((((36, 37), 38), 19), (((((39, 40), 41), ((42, 43), 44)), 45), (46, (47, ((48, 49), 50))))));
(((((3, 4), 9), (((((10, 11), (12, 13)), 14), 15), 16)), ((((17, 18), (19, 20)), ((((21, 22), 23), (24, (25, 26))), (27, ((28, 29), 30)))), ((31, 5), (32, (34, 35))))), ((((36, 37), 38), (((((39, 40), 41), ((42, 43), 44)), 45), (46, ((47, ((48, 49), (((6, 7), 8), 50))), (1, 2))))), 33));
(((((((1, 2), (3, 4)), 5), (((6, 7), 8), 9)), (((((10, 11), (12, 13)), 14), 15), 16)), ((((17, 18), 20), ((((21, 22), 23), (24, (25, 26))), (27, ((28, 29), 30)))), (31, (32, (34, 35))))), (((((36, 37), 38), 19), (((((39, 40), 41), ((42, 43), 44)), 45), (46, (47, ((48, 49), 50))))), 33));
(((((3, 4), (((6, 7), 8), 9)), (((((10, 11), (12, 13)), 14), 15), 16)), ((((17, 18), (19, 20)), ((((21, 22), 23), (24, (25, 26))), (27, ((28, 29), 30)))), ((31, 5), (32, (34, 35))))), ((((36, 37), 38), (((((39, 40), 41), ((42, 43), 44)), 45), (46, ((47, ((48, 49), 50)), (1, 2))))), 33));
((((((1, 2), (3, 4)), (((6, 7), 8), 9)), (((((10, 11), (12, 13)), 14), 15), 16)), ((((17, 18), (19, 20)), ((((21, 22), 23), (24, (25, 26))), (27, ((28, 29), 30)))), ((31, 5), ((32, 33), (34, 35))))), (((36, 37), 38), (((((39, 40), 41), ((42, 43), 44)), 45), (46, (47, ((48, 49), 50))))));
(((((((1, 2), (3, 4)), 5), (((6, 7), 8), 9)), (((((10, 11), (12, 13)), 14), 15), 16)), ((((17, 18), (19, 20)), ((((21, 22), 23), (24, (25, 26))), (27, ((28, 29), 30)))), (31, (32, (34, 35))))), ((((36, 37), 38), (((((39, 40), 41), ((42, 43), 44)), 45), (46, (47, ((48, 49), 50))))), 33));
(((((3, 4), (((6, 7), 8), 9)), (((((10, 11), (12, 13)), 14), 15), 16)), ((((17, 18), (19, 20)), ((((21, 22), 23), (24, (25, 26))), (27, ((28, 29), 30)))), ((31, 5), ((32, 33), (34, 35))))), (((36, 37), 38), (((((39, 40), 41), ((42, 43), 44)), 45), (46, ((47, ((48, 49), 50)), (1, 2))))));
