(((15,16),((((12,13),14),(17,18)),(1,(2,3)))),((((4,5),6),(7,((8,(9,10)),11))),(19,20)));
(((((12,13),14),((9,10),(8,(15,16)))),(17,18)),(((1,(2,3)),((5,6),(7,(4,11)))),(19,20)));
(((8,(15,16)),((((12,13),14),(17,18)),(1,(2,3)))),((((4,5),6),(7,((9,10),11))),(19,20)));
(((((12,13),14),(((8,(9,10)),(15,16)),7)),((17,18),(1,(2,3)))),(((5,6),(4,11)),(19,20)));
((((5,6),(7,(4,11))),((((12,13),14),((9,10),(8,(15,16)))),((17,18),(1,(2,3))))),(19,20));
((((5,6),(7,((9,10),(4,11)))),((((12,13),14),(8,(15,16))),((17,18),(1,(2,3))))),(19,20));
(((((12,13),14),(((9,10),(8,(15,16))),7)),((17,18),(1,(2,3)))),((((4,5),6),11),(19,20)));
(((((12,13),14),((15,16),7)),(17,18)),(((1,(2,3)),((5,6),((8,(9,10)),(4,11)))),(19,20)));
(((((4,5),6),((8,(9,10)),11)),((((12,13),14),((15,16),7)),((17,18),(1,(2,3))))),(19,20));
((((8,(15,16)),7),(((12,13),14),(17,18))),(((1,(2,3)),((5,6),((9,10),(4,11)))),(19,20)));
(((((4,5),6),(7,((8,(9,10)),11))),((15,16),((((12,13),14),(17,18)),(1,(2,3))))),(19,20));
(((((8,(9,10)),(15,16)),7),((((12,13),14),(17,18)),(1,(2,3)))),(((5,6),(4,11)),(19,20)));
(((((12,13),14),(((8,(9,10)),(15,16)),7)),(17,18)),(((1,(2,3)),(((4,5),6),11)),(19,20)));
(((((12,13),14),(((8,(9,10)),(15,16)),7)),((17,18),(1,(2,3)))),((((4,5),6),11),(19,20)));
((((1,(2,3)),((5,6),(4,11))),((((8,(9,10)),(15,16)),7),(((12,13),14),(17,18)))),(19,20));
((((8,(15,16)),7),(((12,13),14),(17,18))),(((1,(2,3)),(((4,5),6),((9,10),11))),(19,20)));
(((((4,5),6),((9,10),11)),((((12,13),14),((8,(15,16)),7)),((17,18),(1,(2,3))))),(19,20));
((((1,(2,3)),(((4,5),6),(7,((8,(9,10)),11)))),((15,16),(((12,13),14),(17,18)))),(19,20));
((((1,(2,3)),((5,6),(7,((8,(9,10)),(4,11))))),((((12,13),14),(15,16)),(17,18))),(19,20));
((((5,6),(7,(4,11))),(((9,10),(8,(15,16))),((((12,13),14),(17,18)),(1,(2,3))))),(19,20));
