((19,(20,(12,13))),((((1,((2,3),4)),5),6),((10,11),((((15,16),14),17),(((7,8),9),18)))));
(((11,19),20),(((1,((2,3),4)),5),((6,(12,13)),((((15,16),14),17),(((7,9),(8,18)),10)))));
(((4,19),(20,(6,(12,13)))),(((1,(2,3)),5),(11,((((15,16),14),17),(18,(((7,8),9),10))))));
(((11,19),20),((((1,((2,3),4)),5),6),((12,13),((((15,16),14),17),(((7,9),(8,18)),10)))));
((19,20),((((1,((2,3),4)),5),6),((10,11),((12,13),((((15,16),14),17),((7,9),(8,18)))))));
((19,20),(((1,((2,3),4)),5),(11,((6,(12,13)),((((15,16),14),17),(((7,9),(8,18)),10))))));
((19,20),((((1,((2,3),4)),5),6),(11,((12,13),((((15,16),14),17),((8,18),((7,9),10)))))));
((((10,11),(4,19)),20),(((1,(2,3)),5),((6,(12,13)),((((15,16),14),17),((7,9),(8,18))))));
(((11,(4,19)),(20,(12,13))),((((1,(2,3)),5),6),((((15,16),14),17),((((7,8),9),18),10))));
((((10,11),19),(20,(6,(12,13)))),(((1,((2,3),4)),5),((((15,16),14),17),((7,9),(8,18)))));
(((((((7,8),9),10),11),(4,19)),(20,(12,13))),((((1,(2,3)),5),6),((((15,16),14),17),18)));
(((11,19),(20,(12,13))),((((1,((2,3),4)),5),6),((((15,16),14),17),(18,(((7,8),9),10)))));
((((10,11),(4,19)),20),((((1,(2,3)),5),6),((12,13),((((15,16),14),17),(((7,8),9),18)))));
(((4,19),(20,(12,13))),((((1,(2,3)),5),6),((10,11),((((15,16),14),17),((7,9),(8,18))))));
(((4,19),(20,(6,(12,13)))),(((1,(2,3)),5),((((7,9),10),11),((((15,16),14),17),(8,18)))));
(((11,19),(20,(6,(12,13)))),(((1,((2,3),4)),5),((((15,16),14),17),(18,(((7,8),9),10)))));
((19,20),(((1,((2,3),4)),5),(11,((6,(12,13)),((((15,16),14),17),(18,(((7,8),9),10)))))));
(((11,19),20),((((1,((2,3),4)),5),6),((12,13),((((15,16),14),17),(18,(((7,8),9),10))))));
(((((((7,8),9),10),11),19),(20,(12,13))),((((1,((2,3),4)),5),6),((((15,16),14),17),18)));
((19,20),(((1,((2,3),4)),5),(((((7,8),9),10),11),((6,(12,13)),((((15,16),14),17),18)))));
