input alg leaves trees k t1 t2 t3 timeout errorInFile
NewHybroVsNorbert2/00002_00000001.txt Hybroscale 20 2 2 0.158 0.199 0.017 False False
NewHybroVsNorbert2/00002_00000002.txt Hybroscale 20 2 1 0.153 0.21 0.004 False False
NewHybroVsNorbert2/00002_00000003.txt Hybroscale 20 2 1 0.161 0.184 0.041 False False
NewHybroVsNorbert2/00002_00000004.txt Hybroscale 20 2 2 0.153 0.216 0.008 False False
NewHybroVsNorbert2/00002_00000005.txt Hybroscale 20 2 2 0.154 0.194 0.022 False False
NewHybroVsNorbert2/00002_00000007.txt Hybroscale 20 2 1 0.153 0.204 0.012 False False
NewHybroVsNorbert2/00002_00000008.txt Hybroscale 20 2 2 0.16 0.194 0.026 False False
NewHybroVsNorbert2/00002_00000009.txt Hybroscale 20 2 2 0.164 0.199 0.028 False False
NewHybroVsNorbert2/00002_00000010.txt Hybroscale 20 2 1 0.157 0.192 0.026 False False
NewHybroVsNorbert2/00002_00000011.txt Hybroscale 20 2 2 0.152 0.195 0.02 False False
NewHybroVsNorbert2/00002_00000012.txt Hybroscale 20 2 2 0.167 0.208 0.027 False False
NewHybroVsNorbert2/00002_00000013.txt Hybroscale 20 2 2 0.156 0.196 0.023 False False
NewHybroVsNorbert2/00002_00000014.txt Hybroscale 20 2 3 0.157 0.216 0.02 False False
NewHybroVsNorbert2/00002_00000015.txt Hybroscale 20 2 1 0.151 0.202 0.013 False False
NewHybroVsNorbert2/00002_00000016.txt Hybroscale 20 2 1 0.154 0.2 0.017 False False
NewHybroVsNorbert2/00002_00000017.txt Hybroscale 20 2 5 0.194 0.294 0.028 False False
NewHybroVsNorbert2/00002_00000018.txt Hybroscale 20 2 3 0.159 0.216 0.012 False False
NewHybroVsNorbert2/00002_00000019.txt Hybroscale 20 2 2 0.154 0.218 0.004 False False
NewHybroVsNorbert2/00002_00000020.txt Hybroscale 20 2 4 0.17 0.228 0.018 False False
NewHybroVsNorbert2/00002_00000021.txt Hybroscale 20 2 3 0.167 0.211 0.017 False False
NewHybroVsNorbert2/00002_00000022.txt Hybroscale 20 2 4 0.16 0.221 0.015 False False
NewHybroVsNorbert2/00002_00000023.txt Hybroscale 20 2 3 0.162 0.22 0.02 False False
NewHybroVsNorbert2/00002_00000024.txt Hybroscale 20 2 2 0.154 0.212 0.012 False False
NewHybroVsNorbert2/00002_00000025.txt Hybroscale 20 2 3 0.16 0.21 0.025 False False
NewHybroVsNorbert2/00002_00000026.txt Hybroscale 20 2 5 0.168 0.238 0.012 False False
NewHybroVsNorbert2/00002_00000027.txt Hybroscale 20 2 5 0.17 0.228 0.024 False False
NewHybroVsNorbert2/00002_00000028.txt Hybroscale 20 2 4 0.166 0.225 0.023 False False
NewHybroVsNorbert2/00002_00000029.txt Hybroscale 20 2 4 0.167 0.235 0.017 False False
NewHybroVsNorbert2/00002_00000030.txt Hybroscale 20 2 5 0.196 0.332 0.021 False False
NewHybroVsNorbert2/00002_00000031.txt Hybroscale 20 2 2 0.165 0.202 0.014 False False
NewHybroVsNorbert2/00002_00000032.txt Hybroscale 20 2 6 0.202 0.355 0.016 False False
NewHybroVsNorbert2/00002_00000033.txt Hybroscale 20 2 6 0.197 0.345 0.023 False False
NewHybroVsNorbert2/00002_00000034.txt Hybroscale 20 2 5 0.163 0.24 0.005 False False
NewHybroVsNorbert2/00002_00000035.txt Hybroscale 20 2 6 0.194 0.329 0.041 False False
NewHybroVsNorbert2/00002_00000036.txt Hybroscale 20 2 5 0.163 0.231 0.014 False False
NewHybroVsNorbert2/00002_00000037.txt Hybroscale 20 2 4 0.159 0.211 0.022 False False
NewHybroVsNorbert2/00002_00000038.txt Hybroscale 20 2 8 0.207 0.379 0.038 False False
NewHybroVsNorbert2/00002_00000039.txt Hybroscale 20 2 6 0.204 0.36 0.021 False False
NewHybroVsNorbert2/00002_00000040.txt Hybroscale 20 2 5 0.171 0.24 0.021 False False
NewHybroVsNorbert2/00002_00000041.txt Hybroscale 20 2 7 0.2 0.346 0.032 False False
NewHybroVsNorbert2/00002_00000042.txt Hybroscale 20 2 3 0.158 0.205 0.027 False False
NewHybroVsNorbert2/00002_00000043.txt Hybroscale 20 2 9 0.233 0.456 0.043 False False
NewHybroVsNorbert2/00002_00000044.txt Hybroscale 20 2 9 0.392 0.791 0.052 False False
NewHybroVsNorbert2/00002_00000045.txt Hybroscale 21 2 6 0.19 0.339 0.022 False False
NewHybroVsNorbert2/00002_00000046.txt Hybroscale 20 2 6 0.194 0.338 0.037 False False
NewHybroVsNorbert2/00002_00000047.txt Hybroscale 20 2 8 0.242 0.482 0.044 False False
NewHybroVsNorbert2/00002_00000048.txt Hybroscale 20 2 6 0.204 0.373 0.032 False False
NewHybroVsNorbert2/00002_00000049.txt Hybroscale 21 2 4 0.16 0.213 0.022 False False
NewHybroVsNorbert2/00002_00000050.txt Hybroscale 21 2 7 0.245 0.486 0.044 False False
NewHybroVsNorbert2/00002_00000051.txt Hybroscale 20 2 12 3.295 5.418 0.148 False False
NewHybroVsNorbert2/00002_00000052.txt Hybroscale 20 2 8 0.391 0.866 0.044 False False
NewHybroVsNorbert2/00002_00000053.txt Hybroscale 21 2 7 0.234 0.455 0.042 False False
NewHybroVsNorbert2/00002_00000054.txt Hybroscale 21 2 8 0.335 0.592 0.072 False False
NewHybroVsNorbert2/00002_00000055.txt Hybroscale 23 2 10 0.301 0.612 0.045 False False
