input w t1 t2 t3
00000000 infty 0.08 0.004 0.0
00000000 1 0.003 0.0 0.002
00000000 10 0.003 0.002 0.0
00000000 100 0.002 0.002 0.0
00000000 1000 0.003 0.003 0.0
00000000 10000 0.003 0.002 0.0
00000000 100000 0.007 0.002 0.0
00000000 2 0.003 0.002 0.0
00000000 20 0.003 0.002 0.0
00000000 200 0.002 0.002 0.0
00000000 2000 0.003 0.002 0.0
00000000 20000 0.003 0.002 0.0
00000000 200000 0.003 0.0 0.002
00000000 3 0.003 0.002 0.0
00000000 30 0.003 0.0 0.002
00000000 300 0.003 0.002 0.0
00000000 3000 0.004 0.002 0.002
00000000 30000 0.003 0.002 0.0
00000000 300000 0.003 0.002 0.0
00000000 4 0.002 0.002 0.0
00000000 40 0.002 0.002 0.0
00000000 400 0.003 0.002 0.0
00000000 4000 0.006 0.004 0.008
00000000 40000 0.003 0.002 0.0
00000000 400000 0.003 0.002 0.0
00000000 5 0.003 0.002 0.0
00000000 50 0.003 0.001 0.002
00000000 500 0.005 0.002 0.0
00000000 5000 0.003 0.003 0.0
00000000 50000 0.003 0.0 0.002
00000000 500000 0.003 0.002 0.0
00000000 6 0.003 0.0 0.002
00000000 60 0.006 0.0 0.002
00000000 600 0.003 0.003 0.0
00000000 6000 0.003 0.0 0.002
00000000 60000 0.003 0.0 0.002
00000000 600000 0.002 0.0 0.002
00000000 7 0.003 0.0 0.002
00000000 70 0.003 0.002 0.0
00000000 700 0.003 0.003 0.0
00000000 7000 0.003 0.002 0.0
00000000 70000 0.003 0.002 0.0
00000000 700000 0.003 0.002 0.0
00000000 8 0.003 0.002 0.0
00000000 80 0.003 0.003 0.0
00000000 800 0.003 0.002 0.0
00000000 8000 0.003 0.0 0.002
00000000 80000 0.003 0.002 0.0
00000000 800000 0.006 0.002 0.0
00000000 9 0.003 0.0 0.002
00000000 90 0.003 0.0 0.002
00000000 900 0.003 0.002 0.0
00000000 9000 0.003 0.0 0.002
00000000 90000 0.003 0.003 0.0
00000000 900000 0.003 0.002 0.0
10_00000068 infty 1.069 1.464 0.668
10_00000068 1 0.548 1.868 0.292
10_00000068 10 0.6 2.054 0.324
10_00000068 100 0.565 1.951 0.283
10_00000068 1000 0.526 1.922 0.156
10_00000068 10000 0.597 1.859 0.479
10_00000068 100000 0.927 2.096 1.556
10_00000068 2 0.631 2.14 0.357
10_00000068 20 0.53 1.932 0.164
10_00000068 200 0.553 1.981 0.205
10_00000068 2000 0.637 2.047 0.46
10_00000068 20000 0.665 1.929 0.668
10_00000068 200000 1.078 2.297 1.989
10_00000068 3 0.674 2.332 0.341
10_00000068 30 0.652 2.322 0.26
10_00000068 300 0.554 1.933 0.255
10_00000068 3000 0.625 1.992 0.477
10_00000068 30000 0.833 2.252 0.991
10_00000068 300000 0.993 2.063 1.883
10_00000068 4 0.683 2.432 0.276
10_00000068 40 0.573 2.052 0.216
10_00000068 400 0.669 2.231 0.42
10_00000068 4000 0.573 1.988 0.273
10_00000068 40000 0.851 2.38 0.938
10_00000068 400000 1.14 2.439 2.099
10_00000068 5 0.581 2.048 0.252
10_00000068 50 0.696 2.412 0.343
10_00000068 500 0.572 1.904 0.361
10_00000068 5000 0.692 2.266 0.472
10_00000068 50000 0.785 2.052 1.008
10_00000068 500000 1.037 2.221 1.905
10_00000068 6 0.657 2.426 0.176
10_00000068 60 0.573 2.016 0.251
10_00000068 600 0.523 1.798 0.267
10_00000068 6000 0.606 2.005 0.372
10_00000068 60000 0.855 2.136 1.124
10_00000068 600000 1.312 2.646 2.574
10_00000068 7 0.569 2.113 0.136
10_00000068 70 0.642 2.25 0.292
10_00000068 700 0.532 1.938 0.144
10_00000068 7000 0.581 1.987 0.296
10_00000068 70000 1.176 2.946 1.591
10_00000068 700000 1.184 2.54 2.172
10_00000068 8 0.659 2.291 0.315
10_00000068 80 0.607 2.038 0.365
10_00000068 800 0.702 2.333 0.448
